date,HSI_return,SH_return,SZ_return,DJI_return,NASDAQ_return,XLK_return,XLV_return,XLI_return,XLE_return,XLF_return,XLY_return,ITA_return,GPR
9/21/15,-0.007476907,0.01892336,0.033089589,0.007666355,0.000356312,0.017094017,0.006183492,0.014691284,0.010670489,0.012814848,0.013446944,0.017166996,0.029813654
9/22/15,0.001822408,0.009212302,0.0060884,-0.010885399,-0.014957703,-0.002507523,0.001007629,0.006997201,0.013068732,-0.000441696,0.002669871,0.010995002,1.184235605
9/23/15,-0.022648966,-0.021889309,-0.010391954,-0.003097278,-0.000836711,0,0.010325771,0.00623617,-0.004337349,0.007117438,0.002677018,0.003007656,-0.545561054
9/24/15,-0.009713696,0.008600758,0.01043693,-0.0048262,-0.003841994,0.001758352,0.028110048,-0.002007629,-0.001924002,-0.014467339,0.000133869,0.003897744,0.034037356
9/25/15,0.004282332,-0.01601814,-0.032552715,0.006996344,-0.010134165,0.023393316,0.040286203,0.020069629,0.041583166,0.023788151,0.029634735,0.018963267,-0.077288952
9/29/15,-0.029722953,-0.020194753,-0.016373998,0.002952151,-0.005864915,-0.019741838,-0.020383512,-0.014832632,-0.023198824,-0.015004413,-0.025931165,-0.012749954,0.363752935
9/30/15,0.014092797,0.004820059,0.003852494,0.014678054,0.022765711,-0.000253036,-0.010014948,0.002209723,-0.001793868,-0.000441112,-0.007686138,0.003682563,-0.092585962
10/8/15,-0.007143885,0.029669996,0.040695818,0.008186946,0.004099225,-0.004339441,-0.004529515,-0.003372049,0.006527415,0.006454389,-0.001158003,-0.005198856,-0.361792567
10/9/15,0.004647301,0.012660032,0.013993629,0.001978799,0.004090804,-0.001203949,-0.002623142,-0.000187301,0.013078619,-0.000859845,-0.004738123,-8.66E-05,0.251251686
10/12/15,0.012116854,0.032832237,0.039958483,0.00277269,0.001691347,0.002171815,0.012691854,0.010791367,0.010543511,0.00779896,0.005407493,0.0102407,-0.10263316
10/13/15,-0.005739756,0.001693605,0.007368611,-0.002916788,-0.008686325,0.001934236,0.001922224,0.010909091,-0.008539458,0.008300568,0.010275754,0.020819354,0.017272933
10/14/15,-0.007103838,-0.00934918,-0.012737579,-0.009199216,-0.002868693,-0.012652184,-0.021839745,-0.010791367,-0.017645357,-0.02221273,-0.012840267,-0.010171575,0.306808207
10/15/15,0.019976016,0.023182641,0.030078485,0.01282146,0.018242261,-0.001906123,-0.008887615,0.005137964,-0.001300014,-0.005944798,-0.00523694,0.002571378,-0.200303049
10/16/15,0.007829372,0.015961005,0.01295263,0.00432978,0.003406501,-0.003797769,-0.003570918,-0.001330293,0.020188624,0.000849979,-0.004703788,0.000532292,0.069660465
10/19/15,0.000357215,-0.001371724,0.001422439,0.000846307,0.003843092,0.002617801,0.01596285,-0.006607514,-0.002792065,-0.00591466,0.001272912,-0.002124646,-0.056763463
10/20/15,-0.00374378,0.011406384,0.018090582,-0.00077943,-0.004994425,0.007673861,0.009078928,-0.00018875,0.01249814,0.007234043,0.004475131,-0.003264802,-0.175302523
10/22/15,-0.006257281,0.01447386,0.035645874,0.018670702,0.016514053,-0.027150354,-0.020914467,-0.003658983,0.002343979,-0.010770505,-0.004897652,-0.00420096,-0.018640723
10/23/15,0.013419349,0.012970729,0.026391629,0.009007865,0.022725379,0.003893724,-0.00387931,0.00220022,0.025078841,0.004159734,-0.006983414,0.003095975,0.149412253
10/26/15,-0.001541555,0.005024859,0.007265936,-0.001340194,0.000564404,0.005759042,-0.018058691,0.011123471,0.012159903,0.005857741,0.004761308,-0.001974079,0.059674436
10/27/15,0.001145515,0.001386467,0.006043925,-0.00236168,-0.000903728,-0.01475261,-0.008255212,-0.007908773,-0.021710037,-0.022894522,-0.009432791,-0.018945773,-0.410447777
10/28/15,-0.008043995,-0.017220214,-0.022457118,0.011267002,0.013029433,0.002730997,-0.004457445,0.000552079,-0.00503033,0.001227998,-0.002846535,-0.001093448,0.376123373
10/29/15,-0.005951673,0.003590606,0.006290917,-0.001334119,-0.004203552,0.006643757,0.006307822,0.001289847,-0.006467735,0.014534884,-0.002099543,0.005497294,-0.079196303
10/30/15,-0.007883456,-0.001403471,-0.001781845,-0.005196049,-0.004043931,-0.008855586,-0.020861927,-0.01147541,-0.022838265,-0.01351905,-0.004548807,-0.011866956,0.46063537
11/2/15,-0.011925774,-0.016991859,-0.020887663,0.009353731,0.014523868,-0.005195392,0.003581267,-0.000728067,-0.024929972,-0.001635992,-0.003796693,0.002597403,0.201206731
11/3/15,0.008868558,-0.002523244,-0.001480776,0.005013809,0.003506822,-0.001128159,0.004427227,0.002737726,0.009044658,0.002871206,0.006533531,0.002267383,-0.515350888
11/4/15,0.0214964,0.043098627,0.052866105,-0.002822278,-0.00051505,0.002941842,0.003192228,-0.001275975,0.008551881,-0.004084967,-0.003562216,-0.003527152,0.811120808
11/5/15,-0.000109744,0.018261727,0.004620148,-0.000232264,-0.002866321,-0.00338295,0.004181185,0,0.005157593,-0.010109179,-0.00012282,0.002185492,-0.373479351
11/6/15,-0.007969705,0.019079323,0.027935118,0.002625476,0.003779443,0.009792758,0.007724719,0.007714916,0.009984083,0.01103843,0.013947696,0.012833602,0.475384765
11/9/15,-0.00614676,0.015835235,0.01465696,-0.010041691,-0.010067766,0.006648326,-0.006696429,0.000183722,-0.002165752,-0.004477004,-0.009375771,0.000680834,-0.021041023
11/10/15,-0.014303396,-0.001753827,0.003797405,0.001563973,-0.002366887,0.000458716,0.010004227,-0.001284404,0.021684614,0.003266639,0.005956813,0.00332509,-0.022974
11/11/15,-0.002210993,0.002682335,0.0141602,-0.003152908,-0.003190878,0.008792226,0.017636937,0.013764881,0.023245283,0.015339967,0.009394964,0.015765766,-0.390632415
11/12/15,0.024013328,-0.004752551,-0.003324778,-0.014356956,-0.012224148,0.020061364,0.002443582,0.004484305,0.004092149,0.008361204,0.027016596,0.006978367,-0.151246072
11/13/15,-0.021529194,-0.014330967,-0.01846797,-0.011624781,-0.015424329,-0.015109252,-0.012350937,-0.012728279,-0.032267527,-0.011978521,-0.011948646,-0.02350937,0.395600918
11/16/15,-0.01720475,0.007294101,0.017605168,0.013787573,0.011514079,-0.000232396,-0.004240882,0.002033272,0.011122646,0.002069536,-0.00190307,-0.000340599,3.742249547
11/17/15,0.011513883,-0.000599674,-0.008624146,0.000371218,0.000278858,-0.014880952,-0.019134775,-0.013673655,-0.016194923,-0.017486783,-0.016839217,-0.008526805,0.212551046
11/18/15,-0.003413095,-0.010077411,-0.018205593,0.014160496,0.017888051,-0.004557885,0.017063884,-0.004356508,0.013605442,-0.001624036,-0.001245795,-0.006708595,-0.125847428
11/19/15,0.014059687,0.013617608,0.026545618,-0.000248631,-0.000307377,-0.007239819,-0.008529083,-0.00505689,0.010762332,-0.001621403,-0.011818294,-0.008563352,-0.215194353
11/20/15,0.011311001,0.00371517,0.007310957,0.005135131,0.006165199,0.00591716,0.002523129,0.005082592,-0.007123776,0.004070004,-0.003679627,0.000166306,-0.126395864
11/23/15,-0.003903366,-0.00555984,-0.009080438,-0.00174654,-0.00047797,-0.000227531,-0.003074343,0.001636364,-0.02092415,0.002857143,0.002089479,-0.004634994,-0.198807704
11/24/15,-0.003453205,0.001605954,0.008593999,0.001096518,0.00241284,0.003195617,-0.005420431,0,0.008203926,-0.000815661,-0.005014064,0.001575064,0.451926213
11/25/15,-0.003968101,0.008798674,0.015626009,0.009091301,0.002612286,-0.002277386,-0.001942017,-0.001724294,0.007230338,-0.002441009,0.003682337,-0.000331483,0.003156128
11/27/15,-0.018703416,-0.054805708,-0.063113374,-0.000836449,0.002224333,-0.001137398,0.013781465,0.006485203,-0.00367539,0.000814332,0.008541718,0.006002501,0.373517334
