Date,GPRD,GPRD_ACT,GPRD_THREAT,I1JOR001,I1NGA001,I2AUS002,I2AUS004,I2AUS005,I2AUS006,I2CHN003,I2CHN004,I2HKG004,I2HKG008,I2IDN003,I2IND001,I2IND004,I2JPN004,I2JPN006,I2JPN007,I2JPN008,I2JPN012,I2JPN013,I2JPN014,I2JPN015,I2KOR003,I2MYS002,I2NZL001,I2NZL002,I2PAK002,I2SGP002,I2SGP005,I2THA002,I2TWN002,I3AUT001,I3AUT003,I3AUT004,I3AUT005,I3BEL001,I3BEL002,I3BEL003,I3BEL005,I3BEL006,I3CHE002,I3CHE018,I3CHE019,I3DEU001,I3DEU003,I3DEU008,I3DNK001,I3DNK014,I3ESP003,I3ESP004,I3FIN003,I3FIN021,I3FIN022,I3FRA001,I3FRA004,I3FRA005,I3FRA006,I3GBR001,I3GBR049,I3GBR050,I3GBR053,I3GBR057,I3GBR059,I3GBR062,I3GBR068,I3GRC020,I3IRL002,I3IRL004,I3ITA028,I3MLT002,I3NLD013,I3NLD014,I3NOR002,I3NOR004,I3POL001,I3SWE001,I3SWE003,I3TUR001,I4BRA002,I4CHL002,I4MEX001,I4MEX003,I4MEX005,I4VEN002,I5CAN003,I5CAN004,I6UNK001,I6UNK082,I6UNK083,I6UNK107
4/16/18,0.651985375,1.064925373,0.652034183,-0.007012058,0.001443242,0.002235747,0.001400915,0.002217846,0.002387247,-0.015321062,-0.009550537,-0.015995323,-0.015703165,0.002618682,0.00329837,0.00431175,0.003514577,0.002607589,0.003650602,0.006267671,0.003966785,0.002223145,0.007393751,0.003248145,0.000985715,0.00550718,-0.002897151,-0.000875517,-0.008456789,-0.000178006,-0.00117385,0,-0.000988565,-0.000436051,-0.00011019,-0.000499357,-0.001241535,-0.005179615,-0.00274146,-0.002741452,-0.004941063,-0.004911976,-0.00616704,-0.005655086,0.000616787,-0.004098084,-0.004129698,-0.00468562,-0.001787166,-0.00187036,-0.000171319,-0.000234707,-0.002494992,-0.001721837,-0.003501021,-0.000389123,-0.000239667,-0.000209107,-0.000157531,-0.007829897,-0.009134758,-0.003378273,-0.0081521,0.001371511,-0.009018376,-0.009352638,-0.007613009,0.012269863,0.001309988,0.010810273,-0.000819331,-0.004804043,-0.001763306,-0.002609251,-0.004876114,-0.002588193,-0.003528087,0.000210811,7.80E-05,0.009887686,-0.0174642,-0.003154025,-0.006009108,-0.006200527,-0.006846866,0.164250774,0.001453607,0.001617193,0.004544036,0.000572853,0.005189135,3.97E-05
4/17/18,-0.081939369,-0.69399556,0.155362985,-0.002245571,-0.004857303,-0.001022432,0.000219113,-0.000227498,-0.000315834,-0.014096732,-0.008234752,-0.008340263,-0.003910161,-0.000157474,0.002612706,0.00216857,-0.002955953,0.000552311,-0.002757326,-0.001457961,-0.003594015,-0.003990235,-0.001348749,-0.007983632,-0.00151374,0.00092082,-0.009564165,-0.011710348,0.002615677,0.002244354,0.000288803,-0.006586803,-0.013154351,0.002860455,0.001542827,0.001438261,0.005153125,0.008153705,0.007905705,0.007905703,0.011404044,0.011643326,0.010932343,0.010714441,0.010735194,0.015668919,0.014817412,0.015282609,0.007014636,0.00713221,0.003739429,0.003190627,0.011903533,0.015968838,0.008038998,0.007639287,0.007718084,0.007651616,0.007624731,0.003654912,0.003869023,0.002926937,0.003708802,0.003307943,0.003991424,0.004017317,0.003570405,0.01956437,0.013369922,-0.000766033,0.013359742,-0.003216624,0.006932598,0.008598295,-0.001652873,2.59E-05,0.000496149,0.012338493,0.013611851,-0.017553435,0.014778224,0.003609388,0.011515468,0.009780763,0.010307139,0.073111375,0.003690075,0.002045137,0.007355229,0.003435148,0.007910202,0.00276585
4/18/18,0.313898077,-0.545132445,0.405441604,-0.00171114,-0.000402563,0.000558261,0.003707261,0.003227074,0.002869024,0.00802139,-0.008820956,0.007367922,0.010762707,0.005448824,-0.001842706,-0.001585262,0.010939121,0.014217129,0.011000971,0.015381772,0.011381634,0.009279584,0.01497559,0.011938523,0.010681523,-0.000622178,0.002566923,0.000403031,-0.007054319,0.018679012,0.017043051,0.009131146,0.003463316,0.006843176,0.007977333,0.009100942,0.004759442,0.002754044,0.006089499,0.006089495,0.0036406,0.003610933,0.001555805,0.001342398,0.001755629,0.000417939,0.001432303,0.000878554,8.94E-05,-0.000583301,0.005502892,0.005850379,0.003758717,0.001839172,0.006324996,0.004973808,0.004344049,0.004764603,0.004809355,0.011898577,0.012633458,0.009209562,0.012045026,0.010006866,0.012562757,0.012873772,0.01426554,0.006452075,-0.014516027,0.008781834,0.005290874,0.003250054,-0.000865114,0.003682072,0.013738038,0.01424568,0.003698872,0.004449807,0.005053824,0.03084488,0.020102436,0.010187453,0.002645014,0.003298318,0.003211085,0.069142242,0.012017395,0.011404325,0.00416986,0.007032088,0.003468104,0.006367796
4/19/18,-0.086277522,5.464020772,-0.386554851,-0.003713826,0.002497531,0.003192709,0.003374578,0.003134214,0.002775673,0.008403959,0.000450377,0.014006951,0.005040475,0.005678788,0.002784891,0.004097877,0.000232288,0.001488388,0.001280149,-0.007235363,0.000291484,0.001052585,-0.001241307,0.00075563,0.002467762,0.008439223,-0.004511095,-0.005317863,-0.001997861,0.013807863,0.011498614,0.013197408,0.011369031,0.007643349,0.009278716,0.009408381,0.00771331,0.000337556,0.000770926,0.000770928,-0.00478816,-0.005358994,0.000305585,0.000147194,0.000310627,-0.00185929,-0.001968703,-0.001862851,-0.006443117,-0.007017391,0.00156793,0.001797781,0.006682461,0.006877171,0.007258631,0.002131717,0.002064797,0.002293248,0.002277636,0.002574456,0.001582542,0.006753445,0.002467569,0.007597763,0.00183972,0.001576379,0.001496604,0.007562267,-0.004153753,0.002835755,0.003095899,-0.000840898,-0.010342257,-0.003686636,0.003289512,0.001829253,0.00186278,0.005474092,0.003253915,0.000206425,0.000557204,0.001175584,-0.006989317,-0.00723381,-0.007037172,0,-0.00533858,-0.005257289,-0.002925518,-0.00037772,-0.003691549,-0.001592248
4/20/18,-0.668114318,-0.81930338,-0.591966267,0,-0.00144835,-0.000587072,-0.002007898,-0.001459434,-0.001392486,-0.014704656,-0.019573595,-0.00944724,-0.006903486,-0.002863481,-0.000340137,-0.000479761,0.000387057,-0.001304122,0.000755485,0.000462954,0.000542801,0.00036105,0.000706165,0.001067498,-0.00392985,-0.003920472,-0.009920392,-0.011583637,-0.002829617,-0.0055407,-0.007044152,0.003532151,-0.017485749,0.001680522,0.000865262,0.000623358,0.000873505,0.002408111,0.003054625,0.003097436,0.001978631,0.002143287,-0.002503331,-0.002873257,-0.002356777,-0.002142047,-0.00230978,-0.002061755,-0.003223516,-0.00346143,0.001545533,0.001995123,-0.004121537,-0.005175243,-0.000553957,0.003930084,0.003165321,0.002950317,0.002841751,0.004947678,0.005355496,0.003653617,0.00506232,0.002425895,0.005285081,0.004971444,0.004235205,-0.004724818,-0.002759329,0.00662115,0.001666626,-0.000374813,-0.003463193,-0.001686891,-0.005691592,-0.006320467,-0.008006622,0.005317568,0.009599096,-0.010610482,-0.003194516,-0.001405885,-0.004877168,-0.005663472,-0.006435495,0.055969572,0.002215691,0.001993024,-0.008242041,-0.006549626,-0.007651482,-0.005350269
4/23/18,0.245532574,1.359796761,0.095725008,0.002210317,-0.001248564,0.006770753,0.001944873,0.004096505,0.004429858,-0.001149261,-0.002075413,-0.005389185,-0.003007306,-0.004662575,0.001022502,0.00133341,0.00029018,-0.003348037,-0.000377457,-0.003894349,-0.00019416,0.001317039,-0.002662715,-0.000898748,-0.000896488,-0.003914713,0.000989609,0.001147353,0.002488326,0.00072855,0.001723858,-0.006184491,-0.007630309,0.003975926,0.006483858,0.007371809,0.004459861,0.003172498,0.003007989,0.003007982,-0.001309554,-0.001766755,0.000348794,-0.000132837,0.001170124,0.002542961,0.002255982,0.001831018,0.003870281,0.003633167,0.00419139,0.004445849,0.002734831,0.004229403,-0.000617748,0.004750805,0.00323729,0.002920857,0.002836044,0.004098663,0.004166571,0.004727812,0.004263423,0.000684728,0.004121185,0.00422944,0.003338356,-0.007185983,0.017760046,0.001983092,0.006347289,0.001428506,0.004981161,0.007031506,0.00441214,0.006142222,-0.003189658,0.008474814,0.008557445,0,0.000612577,0.002676875,0.00012536,0.002922217,0.000219691,-0.044783442,0.005133278,0.00598494,-0.001799765,-0.002877038,-0.001200149,-0.004940143
4/24/18,0.700971532,-0.218005652,1.165194083,-0.001409099,0.000953048,0.006049625,0.005589023,0.006457962,0.006391156,0.019856519,0.009358781,0.012620974,0.007367645,-0.012445804,0.004814696,0.002313987,0.011565165,0.008605562,0.010543743,0.00861946,0.010829397,0.011983205,0.009603819,0.008298479,-0.004029732,-0.007987832,0.005437469,0.008104126,0.011124492,0.000827533,0.001402415,-0.001083714,-0.010996407,0.007030465,0.009475238,0.010144885,0.005132208,-0.000521146,0.00167277,0.001708096,-0.000853367,-0.000796023,-0.000552773,-0.001103714,-0.00011227,-0.001715664,-0.002090727,-0.001954728,0.00263016,0.002826844,-0.005333862,-0.006565837,-0.005749844,-0.006387579,-0.002826784,0.001033291,0.000740336,0.000405197,0.000266662,0.001963741,0.003585683,-0.005958742,0.001959194,-0.0025865,0.002928453,0.00366533,0.002106385,-0.001311663,-0.00148579,-0.009765745,0.001628864,-0.002825371,0.000812934,0.003951286,0.001202229,0.001430396,-0.007792498,-0.007002343,-0.007394143,-0.007877404,-0.001558553,-0.005320175,-0.00747797,-0.008613526,-0.008162714,-0.082311037,-0.005358147,-0.005278489,-0.007566922,0.001462231,-0.007486101,0.003747083
4/25/18,0.282659228,1.01669248,0.120495186,0.009127896,-0.001153108,0,0,0,0,-0.003502795,-0.005005242,-0.010056391,-0.006589449,-0.024044728,-0.00333279,-0.004246128,-0.001309626,-0.002818909,-0.000632347,-0.00283644,-0.001141404,-0.001562178,-0.000738197,-0.000103272,-0.006221237,-0.007189038,0,0,-0.003451861,-0.003977246,-0.004617024,-0.004854043,-0.001846023,-0.021577787,-0.02435652,-0.024662925,-0.016951636,-0.009797563,-0.008094601,-0.005510542,-0.003312224,-0.003474782,-0.006551853,-0.006360188,-0.006704312,-0.010239968,-0.011911701,-0.01230953,-0.01113942,-0.011311739,-0.003269309,-0.0034841,-0.001175927,0.001737853,-0.005473585,-0.005669428,-0.005948919,-0.006492027,-0.006603979,-0.006613718,-0.006205726,-0.008726283,-0.006629864,-0.006891699,-0.006083129,-0.006694456,-0.006243904,-0.01385025,-0.019945545,-0.002624567,-0.011542459,-0.002448682,-0.007455946,-0.008464524,-0.024200439,-0.0125491,-0.004064866,-0.00908881,-0.011760216,-0.024143861,-0.004968967,-0.001617806,0.00036049,0.001057351,0.000237477,-0.172890793,0.003115076,0.00452561,-0.002896431,-0.008345501,-0.002296399,-0.00952597
4/26/18,-0.242634495,-0.268026282,-0.150994353,0.010926324,-7.12E-05,-0.006471109,-0.001064998,-0.002607349,-0.003187901,-0.013771781,-0.010253262,-0.010566751,-0.005967645,-0.028068127,0.006154266,0.004534908,0.002383391,0.004694508,0.001466824,0.007129562,0.002489068,0.001764894,0.003216802,0.004185805,0.010956342,0.000183592,-0.001597837,-0.001624036,-0.005631657,-0.000341517,0.000563339,-0.00355152,-0.006760436,0.005105389,0.004578655,0.003392465,0.005208954,0.00387355,0.005733165,0.005842115,0.006897272,0.006939779,0.011425733,0.010761976,0.011647005,0.006292716,0.007592274,0.006593363,0.011756342,0.012148885,0.00400004,0.003888289,0.017527029,0.016755994,0.006250185,0.007440601,0.007534542,0.007877937,0.007843747,0.005812908,0.005706488,0.005921351,0.005739785,0.008662563,0.005853289,0.005573379,0.007948057,0.011950165,-0.001970539,0.007971382,0.010106258,-0.008144594,0.008171541,0.004857448,0.028776297,0.030376608,0.006489989,0.011869776,0.011097219,-0.003596323,0.015742485,0.002555969,0.004192211,0.004117228,0.00498354,0.152123165,0.008702173,0.008922104,0.007541306,0.002787189,0.007559926,0.002816989
4/27/18,-0.372393519,-0.377593845,-0.448091382,0,0.012074253,0.006267474,0.006646677,0.00741361,0.007400344,0.002341441,-0.00223113,0.009097338,0.007394257,0.001699046,0.007377512,0.006778003,0.002186742,0.006642589,0.003589891,0.004976706,0.002877893,0.002267829,0.004357654,0.001799907,0.006769967,0.006046635,0.017973655,0.020658804,0.001801769,0.004583154,0.002013994,0.002718249,0.006182915,0.004721179,0.005018991,0.004676795,0.004863186,0.001220526,-0.000943892,-0.0006929,-0.006808511,-0.007373373,0.001735993,0.000904355,0.001430638,0.006431758,0.005311882,0.005003743,0,0,0.002778912,0.002532901,0.00841046,0.008905782,0.017272827,0.00542917,0.006169003,0.006140934,0.006117315,0.009890952,0.010884695,0.006654709,0.010172977,0.001813905,0.01064277,0.010609907,0.010994666,0.016104331,-0.00336624,-0.001784002,-0.004996449,-0.009100836,0.003016774,0.000955971,-0.000816599,-0.000927551,-0.001015797,0.001949933,0.003624523,0.005598648,0.000711562,0.001906808,0.000372089,-0.000522491,-0.000271234,0.052359815,0.002424968,0.002451581,0.002319666,0.003167385,0.001725259,0.0056002
4/30/18,0.465577342,1.079041019,0.212819841,0.024303304,0.000560554,0.004946112,0.004749375,0,0.004791222,0,0,0.017429601,0.019755365,0.012731364,0.005452149,0.005031932,0,0,0,0,0,0,0,0,0.009220029,0.00370277,0,0.006135947,-0.001183942,0.011954964,0.010264983,0.001175465,0.009897256,-0.0025508,-0.0060467,-0.007471759,-0.001527146,-0.000669577,-0.002112568,0.001708272,-0.00850628,-0.009044807,0.004328236,0.004889732,0.003727888,0.002483135,0.002616586,0.002332602,0.00091015,0.00074668,0.005751008,0.006274147,0.002650502,1.37E-05,0.002004813,0.006804766,0.005872972,0.005630618,0.005641349,0.000911754,0.000945055,0.000662009,0.00089569,-0.001238332,0.000870917,0.000912514,0.000185091,0.010550361,-0.001266604,0.001001709,0.001944615,0.005939682,0.00013287,0.001423577,-0.001220144,-0.003851655,0.006127338,-0.003132491,-0.006590965,-0.030957697,-0.003807812,0.003588449,0,0.001222092,0.00152326,-0.007279711,-0.003952195,0,-0.003928399,0.000406299,-0.004551418,-0.0004193
